OBJECTID,POINT_X,POINT_Y
543,-87.6962,41.89424
544,-87.7718,41.95322
545,-87.6924,41.92496
546,-87.771,41.93129
547,-87.6924,41.75002
548,-87.7156,41.77885
549,-87.7299,41.85165
550,-87.7401,41.96819
551,-87.551,41.72087
552,-87.7008,41.6934
553,-87.725,41.86426
554,-87.711,41.88349
555,-87.5352,41.7045
556,-87.7742,41.87032
557,-87.6077,41.70188
558,-87.5257,41.70079
559,-87.7662,41.93302
560,-87.61,41.89233
561,-87.625,41.90495
562,-87.6429,41.9478
563,-87.7456,41.89163
564,-87.6275,41.87685
565,-87.6596,41.97337
566,-87.6607,42.00387
567,-87.7039,41.80794
568,-87.6566,41.86726
569,-87.626,41.80908
570,-87.765,41.88558
571,-87.6772,41.90342
572,-87.606,41.78763
573,-87.6612,41.85762
574,-87.624,41.87179
575,-87.7876,41.9828
576,-87.6301,41.85767
577,-87.7878,41.97557
578,-87.6536,41.74679
579,-87.7059,41.87724
580,-87.6295,41.88994
581,-87.7663,41.93484
582,-87.8365,41.97713
583,-87.6875,41.92508
584,-87.6975,41.9324
585,-87.6857,41.85982
586,-87.74,41.79316
587,-87.7745,41.8802
588,-87.6582,41.96545
589,-87.7856,41.93107
590,-87.6976,41.92813
591,-87.5515,41.73748
592,-87.6556,41.99442
593,-87.6628,41.72138
594,-87.6467,41.88307
595,-87.6884,41.70626
596,-87.6237,41.70709
597,-87.6225,41.80196
598,-87.6455,41.80151
599,-87.6589,41.94709
600,-87.6937,41.79362
601,-87.6508,41.73607
602,-87.7958,41.9381
603,-87.7761,41.93108
604,-87.6576,41.72121
605,-87.633,41.89652
606,-87.5971,41.73669
607,-87.6793,41.96867
608,-87.6488,41.86948
609,-87.6306,41.8744
610,-87.6997,42.00476
611,-87.7126,41.94646
612,-87.6866,41.89087
613,-87.6697,41.98526
614,-87.6873,41.91746
615,-87.6314,41.90378
616,-87.6049,41.74578
617,-87.6953,41.84818
618,-87.7748,41.88817
619,-87.7461,41.92083
620,-87.6935,41.78632
621,-87.7468,41.94056
622,-87.6153,41.76947
623,-87.7224,41.77125
624,-87.62,41.71258
625,-87.6414,41.84529
626,-87.6949,41.83731
627,-87.8066,41.9378
628,-87.7271,41.93932
629,-87.5656,41.70815
630,-87.6246,41.76557
631,-87.6996,42.00851
632,-87.668,41.9107
633,-87.7787,41.96859
634,-87.6136,41.70738
635,-87.7014,41.8009
636,-87.7618,41.87292
637,-87.6609,41.75046
638,-87.7426,42.02634
639,-87.6681,42.00918
640,-87.6741,41.87624
641,-87.5972,41.72226
642,-87.7583,41.91744
643,-87.6273,41.75096
644,-87.7532,41.87305
645,-87.5511,41.72831
646,-87.6196,41.75108
647,-87.6752,41.96156
648,-87.688,41.9468
649,-87.5356,41.7028
650,-87.7348,41.8661
651,-87.661,42.00536
652,-87.7652,41.88585
653,-87.6153,41.76556
654,-87.6759,41.85228
655,-87.7111,41.8811
656,-87.7245,41.84047
657,-87.6786,41.954
658,-87.7231,41.78605
659,-87.7662,41.92748
660,-87.747,41.95326
661,-87.641,41.87452
662,-87.7265,41.90962
663,-87.6891,41.96836
664,-87.5512,41.72288
665,-87.6441,41.75075
666,-87.5852,41.75136
667,-87.7235,41.93904
668,-87.6635,41.74678
669,-87.711,41.87743
670,-87.6245,41.75146
671,-87.7145,41.83697
672,-87.6959,41.86108
673,-87.6991,41.98303
674,-87.674,41.79024
675,-87.7237,41.81542
676,-87.6451,41.79454
677,-87.6055,41.76617
678,-87.747,41.94976
679,-87.6441,41.92221
680,-87.6466,41.85246
681,-87.7163,41.80657
682,-87.6823,41.91359
683,-87.7618,41.96901
684,-87.7128,41.94904
685,-87.6792,41.96519
686,-87.684,41.96149
687,-87.6785,41.9433
688,-87.6669,41.87897
689,-87.6856,41.84491
690,-87.7716,41.77793
691,-87.6777,41.91785
692,-87.6342,41.89325
693,-87.6838,41.77903
947,-87.7031,41.85906
948,-87.7069,41.99024
949,-87.7115,41.89525
950,-87.6328,41.90402
951,-87.6474,41.88582
952,-87.785,41.91269
953,-87.6492,41.9399
954,-87.6728,41.90748
955,-87.6373,41.92022
956,-87.7783,41.9806
957,-87.6753,42.01612
958,-87.6955,41.98325
959,-87.6269,41.8421
960,-87.6602,41.98701
961,-87.6298,41.76378
962,-87.6357,41.74544
963,-87.8843,41.7476
964,-87.6396,41.93857
965,-87.7132,41.96121
966,-87.6257,41.79122
967,-87.6736,41.76491
968,-87.6606,41.9962
969,-87.7268,41.92091
970,-87.5934,41.75701
971,-87.6764,41.86699
972,-87.6284,41.90087
973,-87.7244,41.83699
974,-87.6149,41.74733
975,-87.662,41.88159
976,-87.6759,41.85772
977,-87.6278,41.86754
978,-87.7607,41.89493
979,-87.7039,41.96855
980,-87.6592,41.75957
981,-87.6707,41.8523
982,-87.6252,41.75111
983,-87.6852,41.99788
984,-87.6267,41.82379
985,-87.7279,41.96815
986,-87.6165,41.81317
987,-87.7111,41.88962
988,-87.6443,41.76511
989,-87.7007,41.69147
990,-87.607,41.82428
991,-87.6554,41.99478
992,-87.702,41.73876
993,-87.688,41.93194
994,-87.7426,41.78223
995,-87.5755,41.72598
996,-87.6417,41.84525
997,-87.6441,41.7525
998,-87.7104,41.9173
999,-87.6043,41.78038
1000,-87.6035,41.70744
